,0
639,40594
640,40595
641,40596
642,378166
643,378192
644,534794
645,534803
646,372482
647,372483
648,372484
649,372485
650,372486
651,288141
652,288142
653,288143
654,288144
655,288145
656,288146
657,288147
658,718770
659,718771
660,718773
661,718775
662,718789
663,523648
664,523649
665,636037
666,636041
667,89114
668,89115
669,89116
670,89117
671,170332
672,170334
673,265588
674,265593
675,351195
676,351196
677,604411
678,604416
679,141849
680,141854
681,80147
682,80152
683,636012
684,636015
685,473681
686,473686
687,74783
688,74788
689,415790
690,415791
691,462130
692,462145
693,462164
694,462184
695,462198
696,180886
697,180891
698,111629
699,111641
700,111647
701,111657
702,111660
703,111662
704,111668
705,111674
706,111681
707,111684
708,111697
709,111708
710,712242
711,712243
712,581384
713,581389
714,589651
715,589653
716,589654
717,589655
718,589656
719,589657
720,589658
721,589659
722,589660
723,589661
724,589662
725,589663
726,589664
727,589665
728,589666
729,589667
730,589668
731,589669
732,589670
733,589671
734,589672
735,589673
736,589674
737,589675
738,589676
739,589677
740,589678
741,589679
742,589680
743,589681
744,589682
745,589683
746,589684
747,589685
748,589686
749,589687
750,589688
751,589689
752,589690
753,589691
754,176204
755,176205
756,176206
757,492213
758,492217
759,522608
760,522610
761,265397
762,265398
763,554057
764,554067
765,149613
766,149614
767,149615
768,149616
769,149617
770,149618
771,149619
772,225833
773,225859
774,416225
775,416227
776,476009
777,476011
778,7485
779,7487
780,239252
781,239264
782,239266
783,415754
784,415758
785,49258
786,49267
787,49269
788,49276
789,49284
790,49286
791,79585
792,79587
793,357487
794,357488
795,357489
796,357490
797,357491
798,357492
799,357493
800,357494
801,357495
802,357496
803,357497
804,357498
805,357499
806,357500
807,357501
808,357502
809,357503
810,357504
811,222873
812,222878
813,181542
814,181544
815,345951
816,345952
817,524180
818,524181
819,524182
820,524183
821,524184
822,517429
823,517431
824,65862
825,65932
826,65940
827,129094
828,129110
829,129127
830,129138
831,683932
832,683933
833,598214
834,598227
835,568236
836,568240
837,568246
838,568253
839,621925
840,621926
841,334716
842,334727
843,598984
844,598996
845,544022
846,544028
847,369443
848,369448
849,369452
850,369463
851,369476
852,369495
853,369499
854,369505
855,101458
856,101460
857,101461
858,101462
859,101463
860,101464
861,101465
862,101466
863,101467
864,101468
865,101470
866,611736
867,611752
868,627759
869,627760
870,627761
871,627762
872,627763
873,627764
874,627765
875,627766
876,627767
877,627768
878,627769
879,627770
880,627771
881,627772
882,627773
883,627774
884,627775
885,627776
886,627777
887,627778
888,627779
889,627780
890,627781
891,627782
892,627783
893,627784
894,627785
895,627786
896,627787
897,627788
898,627789
899,627790
900,627791
901,627792
902,627793
903,627794
904,627795
905,627796
906,627797
907,627798
908,627799
909,627800
910,627801
911,627802
912,627803
913,627804
914,627805
915,627806
916,627807
917,627808
918,627809
919,627810
920,627811
921,627812
922,627813
923,627814
924,627815
925,627816
926,627817
927,627818
928,627819
929,627820
930,627821
931,627822
932,627823
933,627824
934,627825
935,627826
936,627827
937,627828
938,627829
939,627830
940,214967
941,214970
942,426743
943,426744
944,426745
945,426746
946,581043
947,581048
948,609446
949,609468
950,621904
951,621905
952,443667
953,443668
954,708949
955,708950
956,566476
957,566477
958,566478
959,566479
960,566480
961,566481
962,566482
963,566483
964,566484
965,566485
966,566486
967,566487
968,566488
969,566489
970,566490
971,652861
972,652862
973,652863
974,652864
975,652865
976,652866
977,652867
978,652868
979,652869
980,652870
981,652871
982,652872
983,652873
984,652874
985,652875
986,652876
987,652877
988,652878
989,652879
990,652880
991,652881
992,652882
993,652883
994,652884
995,652885
996,652886
997,652887
998,652888
999,652889
1000,652890
1001,652891
1002,652892
1003,652893
1004,652894
1005,652895
1006,652896
1007,652897
1008,652898
1009,652899
1010,652900
1011,652901
1012,652902
1013,652903
1014,652904
1015,652905
1016,652906
1017,652907
1018,652908
1019,652909
1020,652910
1021,652911
1022,652912
1023,652913
1024,652914
1025,652915
1026,652916
1027,652917
1028,652918
1029,652919
1030,652920
1031,652921
1032,652922
1033,652923
1034,652924
1035,652925
1036,652926
1037,652927
1038,652928
1039,652929
1040,652930
1041,652931
1042,652932
1043,652933
1044,652934
1045,652935
1046,652936
1047,652937
1048,652938
1049,652939
1050,652940
1051,652941
1052,652942
1053,652943
1054,652944
1055,652945
1056,652946
1057,652947
1058,652948
1059,652949
1060,652950
1061,652951
1062,652952
1063,652953
1064,652954
1065,652955
1066,652956
1067,652957
1068,652958
1069,652959
1070,652960
1071,652961
1072,652962
1073,652963
1074,337697
1075,337698
1076,337699
1077,337700
1078,337701
1079,337702
1080,337703
1081,337704
1082,337705
1083,337706
1084,700276
1085,700277
1086,700278
1087,700279
1088,700280
1089,700281
1090,700282
1091,700283
1092,700284
1093,700285
1094,700286
1095,700287
1096,700288
1097,700289
1098,700290
1099,700291
1100,700292
1101,700293
1102,700294
1103,700295
1104,700296
1105,700297
1106,700298
1107,700299
1108,700300
1109,700301
1110,700302
1111,700303
1112,700304
1113,700305
1114,700306
1115,700307
1116,700308
1117,700309
1118,700310
1119,700311
1120,700312
1121,700313
1122,700314
1123,700315
1124,700316
1125,700317
1126,700318
1127,700319
1128,700320
1129,700321
1130,700322
1131,700323
1132,700324
1133,700325
1134,700326
1135,700327
1136,700328
1137,700329
1138,700330
1139,700331
1140,700332
1141,700333
1142,700334
1143,700335
1144,700336
1145,700337
1146,700338
1147,700339
1148,700340
1149,700341
1150,700342
1151,700343
1152,700344
1153,700345
1154,700346
1155,521538
1156,521540
1157,155049
1158,155070
1159,414049
1160,414050
1161,414051
1162,414052
1163,414053
1164,414054
1165,414055
1166,414056
1167,414057
1168,414058
1169,414059
1170,414060
1171,414061
1172,414062
1173,414063
1174,414064
1175,414065
1176,514468
1177,514470
1178,527739
1179,527743
1180,222364
1181,222365
1182,222366
1183,222367
1184,222368
1185,222369
1186,222370
1187,222371
1188,222372
1189,222373
1190,222374
1191,222375
1192,222376
1193,222377
1194,222378
1195,222379
1196,222380
1197,222381
1198,222382
1199,222383
1200,222384
1201,222385
1202,222386
1203,222387
1204,222388
1205,222389
1206,222390
1207,222391
1208,222392
1209,222393
1210,222394
1211,222395
1212,222396
1213,222397
1214,222398
1215,222399
1216,222400
1217,222401
1218,222402
1219,222403
1220,222404
1221,222405
1222,222406
1223,222407
1224,222408
1225,222409
1226,222410
1227,222411
1228,222412
1229,222413
1230,222414
1231,222415
1232,222416
1233,222417
1234,222418
1235,222419
1236,222420
1237,222421
1238,222422
1239,222423
1240,222424
1241,222425
1242,222426
1243,222427
1244,222428
1245,222429
1246,222430
1247,222431
1248,222432
1249,222433
1250,222434
1251,222435
1252,222436
1253,222437
1254,222438
1255,222439
1256,222440
1257,222441
1258,222442
1259,222443
1260,222444
1261,222445
1262,222446
1263,222447
1264,222448
1265,222449
1266,222450
1267,222451
1268,222452
1269,222453
1270,222454
1271,73083
1272,73088
1273,44746
1274,44747
1275,688089
1276,688096
1277,630045
1278,630046
1279,630048
1280,630049
1281,630050
1282,630051
1283,630052
1284,630053
1285,630054
1286,630055
1287,630056
1288,630057
1289,630058
1290,630059
1291,630060
1292,630061
1293,630062
1294,630063
1295,630064
1296,630065
1297,630066
1298,630067
1299,630068
1300,630069
1301,630070
1302,630071
1303,630072
1304,630073
1305,630074
1306,630075
1307,630076
1308,630077
1309,630078
1310,630079
1311,630080
1312,630081
1313,630082
1314,630083
1315,630084
1316,630085
1317,630086
1318,630087
1319,630088
1320,630089
1321,630090
1322,630091
1323,630092
1324,630093
1325,630094
1326,630095
1327,630096
1328,630097
1329,630098
1330,630099
1331,630100
1332,630101
1333,630102
1334,630103
1335,630104
1336,630105
1337,630106
1338,630107
1339,630108
